model,pr_auc,threshold,recall,precision,fpr
logreg_cal,0.7625625947542771,0.08817009807998595,0.75,0.6976744186046512,0.04421768707482993
rf_cal,0.6801412125558414,0.07233822092959666,0.85,0.7391304347826086,0.04081632653061224
lgbm,0.6342795515732716,0.03434942977018501,0.55,0.6111111111111112,0.047619047619047616
xgb,0.5480300814364752,0.21577543020248413,0.375,0.5357142857142857,0.04421768707482993
iso_forest,0.3510697442038807,0.6482035702062535,0.225,0.45,0.03741496598639456
