vehicle_id,cluster_id,n_events,total_fuel_drop,mean_fuel_drop,max_fuel_drop,mean_duration,latitude,longitude
WOL991,0,90,367.2849999999998,4.080944444444442,16.040000000000006,17.10703703703704,7.079158068667051,-73.85835656087708
WOL981,11,30,251.91999999999996,8.397333333333332,18.469999999999985,8.6,1.986597900355872,-75.92126176512456
WOL991,95,27,181.67000000000002,6.728518518518519,25.03,21.835185185185182,7.073831886699508,-73.82309789655173
WOL991,10,25,109.33000000000008,4.373200000000003,7.630000000000038,10.24,7.062221857512953,-73.87628663471503
GQU478,41,24,166.19999999999993,6.924999999999997,17.049999999999983,10.416666666666666,4.349100992125984,-74.38230284251969
WOL981,0,17,46.509999999999955,2.7358823529411738,3.6299999999999955,6.882352941176471,7.079274022624435,-73.85834131221719
WOL991,101,17,56.130000000000024,3.3017647058823543,7.890000000000043,15.094117647058825,5.3409265114155255,-74.73733221917809
WOL991,11,17,72.87333333333325,4.286666666666662,14.469999999999999,12.058823529411764,6.861769780063292,-73.7672713670886
WOL991,23,16,77.07999999999987,4.817499999999992,9.5,9.4375,4.077389135021097,-73.3743514113924
WOL991,17,14,59.509999999999934,4.250714285714281,10.100000000000009,6.928571428571429,4.347904482233503,-74.38216351269035
WOL981,37,13,59.78999999999982,4.599230769230756,10.96999999999997,10.461538461538462,10.288039095744681,-75.50315252127659
GQU478,22,13,76.67000000000007,5.897692307692314,8.490000000000009,7.633333333333334,3.613770054012346,-76.48516187191359
GQU478,51,13,90.20500000000006,6.938846153846158,16.540000000000006,11.538461538461538,5.486578108695652,-74.64071604347826
GQU478,46,12,87.18333333333344,7.265277777777786,15.630000000000024,11.0,5.828485,-74.585075
WOL991,118,12,55.80500000000001,4.6504166666666675,10.629999999999995,13.166666666666666,10.288046790123456,-75.5032168765432
WOL991,110,11,51.969999999999885,4.724545454545444,9.139999999999986,12.0,10.5489529689441,-75.36733395652175
WOM077,51,11,37.19999999999982,3.3818181818181654,3.879999999999938,18.83939393939394,10.28805606264501,-75.50336760324826
WOL991,55,10,36.64999999999995,3.6649999999999947,6.409999999999997,17.5,6.324335094339622,-75.68838713207546
WOL991,72,8,29.72000000000004,3.715000000000005,7.200000000000017,9.25,7.071024006042296,-73.81906933232628
WOL991,133,8,39.290000000000035,4.911250000000004,8.900000000000006,5.875,4.263116642857143,-74.59213357142858
WOL991,29,8,30.200000000000003,3.7750000000000004,6.469999999999999,102.19166666666666,4.346862290598291,-74.39381076068376
WOL991,62,7,26.273333333333312,3.7533333333333303,7.75,5.428571428571429,3.508312372,-76.52380894000001
GQU478,15,7,23.76000000000002,3.3942857142857172,5.990000000000009,17.714285714285715,4.865067,-74.739657
WOL991,49,7,30.510000000000034,4.358571428571433,5.660000000000011,8.428571428571429,6.292720927272727,-75.65067647272727
WOL991,132,7,33.11000000000003,4.730000000000004,7.590000000000003,5.857142857142857,4.257642454545455,-74.60171004545454
GQU478,4,7,21.629999999999995,3.0899999999999994,5.07,7.857142857142857,7.079376144092219,-73.85847972334294
WOL991,68,6,25.289999999999978,4.214999999999996,7.259999999999991,7.833333333333333,7.805846606557377,-73.4117836885246
WOL991,21,6,43.09999999999991,7.1833333333333185,8.179999999999978,13.0,4.0629062244897955,-73.39375269387754
WOL991,4,6,22.059999999999988,3.6766666666666645,5.75,4.833333333333333,9.964788983870967,-73.86755956451614
GQU478,44,6,37.66,6.276666666666666,10.599999999999994,5.666666666666667,4.498948,-74.79117800000002
WOM077,27,5,15.820000000000007,3.1640000000000015,3.3900000000000006,15.0,7.075568586956522,-73.83078719565216
WOL991,38,5,11.019999999999982,2.203999999999996,2.5099999999999913,8.4,6.477360555555555,-74.7002788888889
WOL991,67,5,20.249999999999986,4.049999999999997,5.349999999999994,6.8,6.3317424453125,-74.4350651328125
WOM077,16,5,23.540000000000035,4.708000000000007,6.8300000000000125,7.4,3.7566488765714285,-76.66167838171428
GQU478,14,5,27.80000000000001,5.560000000000002,8.810000000000002,8.6,4.252097166666667,-74.86954644444444
WOL991,19,5,20.610000000000042,4.122000000000009,6.53000000000003,14.430000000000001,4.394178312499999,-74.3910515
WOL991,34,5,13.599999999999909,2.719999999999982,3.2599999999999767,12.8,4.264078,-74.515973
WOL981,33,4,9.5,2.375,2.6700000000000017,6.75,7.06229473015873,-73.87645515873015
WOL981,7,4,11.18999999999999,2.7974999999999977,4.159999999999997,6.0,6.8112645277777775,-73.79551077777778
WOL991,44,4,16.859999999999985,4.214999999999996,5.659999999999997,8.5,5.844682275,-74.57129347499999
WOL991,130,4,19.699999999999903,4.924999999999976,7.5099999999999625,6.25,4.25479865,-76.118298875
WOM077,6,4,19.12999999999994,4.782499999999985,6.049999999999983,6.75,7.810880346153846,-73.41316992307692
WOL991,69,4,20.905,5.22625,8.800000000000011,5.25,8.491673232323233,-73.63919361616162
WOL991,82,4,10.959999999999866,2.7399999999999665,3.0399999999999636,14.0,6.001557272727273,-74.55585054545455
WOL991,41,4,17.560000000000016,4.390000000000004,6.439999999999998,21.275,6.3943904047619045,-75.4332994047619
WOL991,65,4,13.414999999999992,3.353749999999998,3.719999999999999,5.0,4.500986,-75.5757792
GQU478,16,4,20.580000000000013,5.145000000000003,6.960000000000008,6.0,6.374706117647059,-74.40643117647059
GQU478,18,4,10.720000000000027,2.680000000000007,2.680000000000007,8.25,4.40865,-75.335325
GQU478,10,4,4.8799999999999955,1.2199999999999989,1.2199999999999989,17.75,4.945380682692308,-74.72041901923077
GQU478,9,4,12.02000000000001,3.0050000000000026,4.13000000000001,5.75,5.204892152380952,-74.72892606666667
WOL991,28,4,9.580000000000027,2.3950000000000067,3.690000000000026,8.0,5.75408465942029,-74.63001662318841
GQU478,2,3,12.27000000000001,4.090000000000003,4.090000000000003,12.333333333333334,5.368187,-74.588052
GQU478,53,3,7.110000000000014,2.3700000000000045,2.3700000000000045,5.666666666666667,5.557947,-74.625578
GQU478,45,3,10.830000000000013,3.6100000000000043,5.780000000000001,4.666666666666667,5.202099230769231,-74.72216161538462
GQU478,39,3,8.730000000000047,2.9100000000000157,3.930000000000007,5.666666666666667,4.264868633333333,-74.59105096666667
WOL991,24,3,12.339999999999975,4.113333333333325,6.1699999999999875,5.666666666666667,4.766780768115942,-74.31176352173912
WOL991,31,3,10.859999999999985,3.619999999999995,5.209999999999994,6.0,6.559821896296296,-74.04586833333333
WOL991,27,3,7.089999999999947,2.3633333333333155,3.2299999999999898,5.666666666666667,6.5321327933884294,-74.07230856198348
WOL991,33,3,8.489999999999952,2.829999999999984,2.829999999999984,10.755555555555555,5.357263524590164,-74.7267148852459
WOL991,5,3,29.610000000000014,9.870000000000005,9.870000000000005,10.0,9.965466937984496,-73.86438882945737
GQU478,1,3,11.529999999999973,3.8433333333333244,5.9199999999999875,10.0,4.906643,-74.42702
GQU478,21,3,11.26000000000002,3.7533333333333396,4.280000000000001,5.666666666666667,4.53027,-75.594118
WOL991,116,3,12.900000000000006,4.300000000000002,7.530000000000001,4.666666666666667,5.336202041666667,-74.73968203125
WOM077,42,3,11.719999999999999,3.9066666666666663,5.859999999999999,5.8,5.524497,-74.634688
WOL991,122,3,17.730000000000018,5.910000000000006,7.909999999999997,4.666666666666667,9.899644873873873,-73.83742244144143
GQU478,38,3,6.999999999999993,2.333333333333331,2.4399999999999977,4.666666666666667,7.077031444444445,-73.85630733333333
GQU478,42,3,16.91000000000001,5.63666666666667,5.840000000000003,5.666666666666667,4.347323046875,-74.381619278125
GQU478,36,3,6.439999999999969,2.1466666666666563,2.4999999999999716,5.666666666666667,5.342660772727273,-74.73672281818182
GQU478,37,3,6.510000000000005,2.1700000000000017,2.2900000000000063,5.666666666666667,7.070867857142857,-73.8191487142857
WOM077,24,3,12.30000000000004,4.100000000000013,5.52000000000001,18.0,3.9589419393939393,-76.26662796969697
WOL991,40,3,10.240000000000038,3.413333333333346,4.679999999999978,4.0,6.534898999999999,-75.12286966666667
WOL991,84,3,6.840000000000032,2.2800000000000105,3.3499999999999943,5.0,5.2050364615384614,-74.7289534423077
WOL991,46,3,19.150000000000034,6.383333333333344,6.610000000000014,5.666666666666667,4.683267320610687,-74.28154358396947
WOL991,135,3,8.710000000000036,2.9033333333333453,4.190000000000026,9.0,5.707793250000001,-74.61827983333333
WOL991,37,3,6.989999999999995,2.3299999999999983,2.3299999999999983,10.666666666666666,7.060304869047619,-73.79513898809525
WOM077,28,2,8.079999999999998,4.039999999999999,4.039999999999999,5.0,7.072175111111111,-73.82214938888889
WOM077,0,2,11.550000000000004,5.775000000000002,9.690000000000005,375.6,7.079996807228916,-73.85883978447121
WOM077,11,2,3.660000000000025,1.8300000000000125,1.8300000000000125,6.5,5.344100064516129,-74.73581458064517
GQU478,23,2,6.610000000000042,3.305000000000021,4.010000000000019,7.0,4.5010729375,-75.5756739375
GQU478,24,2,4.060000000000059,2.0300000000000296,2.0300000000000296,6.5,4.322133,-75.076543
GQU478,33,2,4.579999999999984,2.289999999999992,2.289999999999992,5.0,3.991515,-76.23535542857144
WOL991,136,2,3.6400000000000428,1.8200000000000214,1.8200000000000214,6.5,5.708672750000001,-74.61863983333333
WOL991,120,2,5.749999999999972,2.874999999999986,3.6499999999999773,7.0,8.84909432352941,-73.67304126470587
WOL991,94,2,5.730000000000047,2.8650000000000233,3.5200000000000387,15.0,6.340348,-74.43146
WOL991,137,2,4.180000000000007,2.0900000000000034,2.0900000000000034,6.5,5.711714642857143,-74.61985957142858
WOL991,86,2,4.179999999999978,2.089999999999989,2.089999999999989,6.5,4.565151145833333,-74.79650939583333
WOL991,53,2,4.790000000000005,2.3950000000000027,2.7400000000000087,6.5,6.871124818181817,-76.14871205194805
WOL991,39,2,6.400000000000034,3.200000000000017,3.200000000000017,6.5,6.5362237289719625,-75.07907761682243
WOL991,74,2,5.539999999999992,2.769999999999996,3.0,5.0,9.794782825503356,-74.80251644966444
