feature,count,mean,std,min,25%,50%,75%,max
duration_min,1305.0,21.668135376756066,90.86623382001518,4.0,4.0,7.0,10.0,1558.4666666666667
drop_gal,1305.0,4.300750957854405,2.775950079420536,1.1000000000000083,2.369999999999997,3.469999999999999,5.5,25.03
min_step_gal,1305.0,1.8331149425287365,1.1362406642056564,0.4199999999999875,1.2700000000000102,1.5900000000000034,1.9199999999999944,9.200000000000005
n_negative_steps,1305.0,4.562452107279693,3.5751314010405357,1.0,2.0,3.0,5.0,38.0
cluster_id,1305.0,20.285057471264366,33.87601399361532,-1.0,-1.0,0.0,34.0,137.0
cluster_count,1305.0,9.962452107279693,10.50281733139586,2.0,5.0,7.0,10.0,136.0
is_hotspot,1305.0,0.5279693486590038,0.49940848352386147,0.0,0.0,1.0,1.0,1.0
y,1305.0,0.07662835249042145,0.2661028169051297,0.0,0.0,0.0,0.0,1.0
duration_hours,1305.0,0.3611355896126011,1.5144372303335862,0.06666666666666667,0.06666666666666667,0.11666666666666667,0.16666666666666666,25.974444444444444
duration_log,1305.0,2.2456895398061896,0.8640143563002156,1.6094379124341003,1.6094379124341003,2.0794415416798357,2.3978952727983707,7.3520991614472955
hod_sin,1305.0,-0.23658846963200514,0.6405771113116349,-1.0,-0.8362861558477599,-0.37460659341591235,0.2546019482055273,0.9999904807207345
hod_cos,1305.0,-0.307214486477098,0.6632930635624772,-1.0,-0.9081431738250811,-0.5150380749100538,0.2461532930289925,0.9999619230641713
weekday,1305.0,2.874329501915709,1.7889808504759819,0.0,1.0,3.0,4.0,6.0
is_weekend,1305.0,0.22452107279693487,0.41742649849902314,0.0,0.0,0.0,0.0,1.0
is_night,1305.0,0.11264367816091954,0.3162779356830914,0.0,0.0,0.0,0.0,1.0
time_since_last_event_hours,1305.0,4.285475308641975,12.01305427331925,-1.0,0.016666666666666666,0.05,2.1927777777777777,170.69972222222222
is_first_event_of_day,1305.0,0.13486590038314175,0.34171123129399683,0.0,0.0,0.0,0.0,1.0
n_points,1305.0,10.377011494252873,10.591860456650192,2.0,5.0,7.0,11.0,136.0
median_dt_s,1305.0,148.31954022988506,541.6237220875848,10.0,60.0,60.0,60.0,3600.0
mean_step_neg,1305.0,1.1210185233329268,0.8039859739571169,0.18476190476190182,0.6999999999999981,0.9299999999999997,1.269999999999996,9.200000000000005
p95_abs_dfuel,1305.0,2.0530638569604087,1.5565202004037242,0.16500000000000745,1.2435000000000112,1.6360000000000012,2.2599999999999967,17.003333333333337
median_speed,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_ign_on,1305.0,0.9547892720306513,0.2078456671600711,0.0,1.0,1.0,1.0,1.0
lat_c,1305.0,6.265373962835249,1.7741644806963714,1.986595,4.500898,7.073692,7.079123,10.722985
lon_c,1305.0,-74.34660730804598,0.7265525209262443,-76.661722,-74.634688,-73.867553,-73.8585485,-73.374207
lat_std,1305.0,6.403587229482298e-05,0.00011355021379549947,0.0,0.0,2.2360679778123426e-06,9.110817745963238e-05,0.0010387035580853813
lon_std,1305.0,3.6130244759669693e-05,6.515279179439984e-05,0.0,0.0,8.944271887417043e-07,4.413433228038436e-05,0.0008565796046168269
coord_range_km,1305.0,0.01819395967544957,0.02882282074285805,0.0,0.0,0.0009556053405623935,0.025556224648938208,0.24993699716814116
window_trip_km,1305.0,0.0255683334632926,0.04368034155970114,0.0,0.0,0.0009556053405623935,0.03485651885230357,0.4292519910343118
pre_event_distance_km,1305.0,42.144150519092236,43.282235945433065,0.0,0.3316173201734752,26.02444455207375,83.36511350983986,141.34213415401308
pre_event_avg_speed,1305.0,31.81269136090939,25.833793786902405,0.0,2.0833333333333335,37.127737226277375,57.307180851063826,76.74688473520249
pre_event_moving_pct,1305.0,0.6358408771084301,0.3875159735981158,0.0,0.20930232558139536,0.8452380952380952,0.9755501222493888,1.0
pre_event_fuel_change,1305.0,-3.6946685823754786,13.599957944792951,-29.359999999999985,-9.719999999999999,-3.924999999999997,-0.3399999999999892,128.22
speed_std,1305.0,0.00555010690665185,0.04446916310025906,0.0,0.0,0.0,0.0,0.44721359549995804
speed_max,1305.0,0.016091954022988506,0.12587749962644823,0.0,0.0,0.0,0.0,1.0
movement_variability,1305.0,0.0020067948228867775,0.017061877194498486,0.0,0.0,0.0,0.0,0.20000000000000007
drop_gal_vehicle_zscore,1305.0,0.014577208043790358,1.021323594417607,-1.2169494869105486,-0.7023743422396238,-0.30038463259410664,0.46043894999734547,8.222581126342629
min_step_gal_vehicle_zscore,1305.0,-0.02349140955460055,0.9954022812898975,-2.9585259714313064,-0.5553967599710573,-0.24982571884984284,0.21971027116570926,5.399512065781644
duration_min_vehicle_zscore,1305.0,0.015603884705935819,1.0384711317374338,-0.6769392638878868,-0.20763292859733445,-0.1877125370665409,-0.09807077517796989,15.275159382186446
avg_fuel_level,1305.0,139.68753620067932,5.287182165935604,122.29945810225385,140.79712225599854,140.79712225599854,140.79712225599854,144.12234730940818
max_fuel_level,1305.0,249.32416858237545,8.320977395605873,224.58,252.03,252.03,252.03,255.1
drop_pct_of_avg,1305.0,0.03085248653132489,0.020027263993803997,0.007812659623733781,0.016832730280226325,0.02500051079594788,0.039276370653861456,0.17777351852914097
drop_pct_of_max,1305.0,0.01727785367947164,0.011270969972743001,0.004364559757312417,0.009522675834136077,0.013966591223399615,0.021941832234488683,0.09931357338684453
